ISO 639-3 code	Script	Name	Language Family	Subset	Words	Documents	Disk size
rus	Cyrl	Russian	Indo-European	rus_Cyrl	537,248,642,150	605,468,615	1.65TB
cmn	Hani	Mandarin Chinese	Sino-Tibetan	cmn_Hani	301,260,059,157	578,332,129	1.34TB
deu	Latn	German	Indo-European	deu_Latn	234,845,525,340	427,700,394	640.76GB
jpn	Jpan	Japanese	Japonic	jpn_Jpan	133,338,461,195	376,134,745	636.71GB
spa	Latn	Spanish	Indo-European	spa_Latn	244,541,319,983	405,634,303	554.08GB
fra	Latn	French	Indo-European	fra_Latn	206,642,953,127	332,646,715	476.55GB
ita	Latn	Italian	Indo-European	ita_Latn	128,812,336,382	219,117,921	305.96GB
por	Latn	Portuguese	Indo-European	por_Latn	105,274,251,441	189,851,449	246.33GB
pol	Latn	Polish	Indo-European	pol_Latn	67,348,057,023	138,337,436	193.34GB
nld	Latn	Dutch	Indo-European	nld_Latn	69,031,468,676	133,855,612	162.98GB
ind	Latn	Indonesian	Austronesian	ind_Latn	57,058,990,049	92,992,647	134.84GB
tur	Latn	Turkish	Turkic	tur_Latn	39,147,774,979	88,769,907	116.64GB
ces	Latn	Czech	Indo-European	ces_Latn	34,180,069,985	62,703,458	98.30GB
kor	Hang	Korean	Koreanic	kor_Hang	47,231,383,119	58,160,164	94.73GB
arb	Arab	Standard Arabic	Afro-Asiatic	arb_Arab	31,018,164,224	57,752,149	94.52GB
hun	Latn	Hungarian	Uralic	hun_Latn	29,020,551,784	46,879,826	85.72GB
fas	Arab	Persian	Indo-European	fas_Arab	35,470,813,197	51,043,666	85.16GB
ron	Latn	Romanian	Indo-European	ron_Latn	33,510,926,028	54,128,784	81.30GB
vie	Latn	Vietnamese	Austro-Asiatic	vie_Latn	33,145,536,765	40,741,340	78.95GB
ukr	Cyrl	Ukrainian	Indo-European	ukr_Cyrl	23,370,443,644	47,552,562	77.40GB
nob	Latn	Norwegian Bokmål	Indo-European	nob_Latn	30,468,659,206	35,502,989	74.48GB
tha	Thai	Thai	Kra-Dai	tha_Thai	25,047,743,431	35,949,449	70.86GB
ell	Grek	Modern Greek (1453-)	Indo-European	ell_Grek	21,559,658,874	44,202,550	68.91GB
swe	Latn	Swedish	Indo-European	swe_Latn	25,442,802,114	45,329,979	63.27GB
dan	Latn	Danish	Indo-European	dan_Latn	26,976,451,710	42,975,661	63.04GB
fin	Latn	Finnish	Uralic	fin_Latn	18,558,719,801	33,162,591	56.79GB
bul	Cyrl	Bulgarian	Indo-European	bul_Cyrl	15,267,314,656	23,838,661	43.04GB
slk	Latn	Slovak	Indo-European	slk_Latn	14,094,646,493	26,470,482	40.43GB
hrv	Latn	Croatian	Indo-European	hrv_Latn	12,671,235,751	20,637,731	32.91GB
hin	Deva	Hindi	Indo-European	hin_Deva	10,627,216,436	20,587,135	30.59GB
lit	Latn	Lithuanian	Indo-European	lit_Latn	8,778,132,954	12,364,135	24.52GB
bos	Latn	Bosnian	Indo-European	bos_Latn	8,423,093,759	19,390,133	23.03GB
heb	Hebr	Hebrew	Afro-Asiatic	heb_Hebr	8,112,550,066	13,639,095	22.20GB
ben	Beng	Bengali	Indo-European	ben_Beng	5,684,497,360	14,129,440	20.48GB
slv	Latn	Slovenian	Indo-European	slv_Latn	7,596,809,203	11,561,268	18.91GB
ekk	Latn	Standard Estonian	Uralic	ekk_Latn	6,379,499,093	9,629,380	17.73GB
cat	Latn	Catalan	Indo-European	cat_Latn	7,596,471,602	15,512,049	16.66GB
lvs	Latn	Standard Latvian	Indo-European	lvs_Latn	5,284,221,488	7,754,179	14.41GB
zsm	Latn	Standard Malay	Austronesian	zsm_Latn	5,465,873,952	8,832,556	12.87GB
azj	Latn	North Azerbaijani	Turkic	azj_Latn	3,650,335,666	6,753,102	9.72GB
tam	Taml	Tamil	Dravidian	tam_Taml	1,921,191,055	5,450,192	8.64GB
srp	Cyrl	Serbian	Indo-European	srp_Cyrl	2,699,692,738	3,842,269	8.12GB
als	Latn	Tosk Albanian	Indo-European	als_Latn	3,277,161,199	8,016,293	7.95GB
kat	Geor	Georgian	Kartvelian	kat_Geor	1,407,709,680	3,645,892	6.22GB
kaz	Cyrl	Kazakh	Turkic	kaz_Cyrl	1,837,049,585	3,316,631	6.21GB
urd	Arab	Urdu	Indo-European	urd_Arab	2,483,704,532	4,164,316	5.80GB
ary	Arab	Moroccan Arabic	Afro-Asiatic	ary_Arab	1,737,061,304	6,111,598	5.79GB
mar	Deva	Marathi	Indo-European	mar_Deva	1,512,164,293	3,762,395	5.70GB
npi	Deva	Nepali (individual language)	Indo-European	npi_Deva	1,461,508,712	4,264,777	5.53GB
mal	Mlym	Malayalam	Dravidian	mal_Mlym	1,055,322,995	3,406,035	5.50GB
tel	Telu	Telugu	Dravidian	tel_Telu	1,094,792,783	2,811,760	4.56GB
mkd	Cyrl	Macedonian	Indo-European	mkd_Cyrl	1,510,099,711	3,885,664	4.52GB
isl	Latn	Icelandic	Indo-European	isl_Latn	1,635,293,855	2,818,643	4.40GB
bel	Cyrl	Belarusian	Indo-European	bel_Cyrl	1,113,445,856	1,978,448	3.69GB
afr	Latn	Afrikaans	Indo-European	afr_Latn	1,585,916,310	1,963,230	3.36GB
kan	Knda	Kannada	Dravidian	kan_Knda	731,507,322	2,309,261	3.20GB
fil	Latn	Filipino	Austronesian	fil_Latn	1,539,873,576	2,179,703	3.16GB
mya	Mymr	Burmese	Sino-Tibetan	mya_Mymr	881,917,647	1,619,895	3.05GB
glg	Latn	Galician	Indo-European	glg_Latn	1,217,033,695	2,483,607	2.87GB
guj	Gujr	Gujarati	Indo-European	guj_Gujr	856,121,025	1,944,408	2.84GB
anp	Deva	Angika	Indo-European	anp_Deva	986,990,685	1,577,180	2.76GB
khk	Cyrl	Halh Mongolian	Mongolic	khk_Cyrl	792,199,677	1,566,203	2.50GB
gmh	Latn	Middle High German (ca. 1050-1500)	Indo-European	gmh_Latn	893,015,355	431,052	2.21GB
khm	Khmr	Khmer	Austro-Asiatic	khm_Khmr	610,578,779	1,467,637	1.95GB
eus	Latn	Basque	Language isolate	eus_Latn	710,683,241	1,611,832	1.90GB
ars	Arab	Najdi Arabic	Afro-Asiatic	ars_Arab	562,612,688	1,639,585	1.81GB
sin	Sinh	Sinhala	Indo-European	sin_Sinh	481,573,894	1,077,501	1.74GB
hye	Armn	Armenian	Indo-European	hye_Armn	476,562,063	1,370,205	1.70GB
uzn	Latn	Northern Uzbek	Turkic	uzn_Latn	616,563,348	1,098,843	1.68GB
uzn	Cyrl	Northern Uzbek	Turkic	uzn_Cyrl	492,264,125	1,247,285	1.68GB
lat	Latn	Latin	Indo-European	lat_Latn	712,528,440	1,488,583	1.64GB
arz	Arab	Egyptian Arabic	Afro-Asiatic	arz_Arab	439,877,753	1,410,134	1.40GB
pan	Guru	Panjabi	Indo-European	pan_Guru	482,517,682	864,180	1.34GB
kir	Cyrl	Kirghiz	Turkic	kir_Cyrl	385,676,123	1,033,688	1.33GB
swh	Latn	Swahili (individual language)	Niger-Congo	swh_Latn	553,991,794	1,166,177	1.31GB
srp	Latn	Serbian	Indo-European	srp_Latn	513,095,250	1,061,122	1.30GB
bew	Latn	Betawi	Creole	bew_Latn	484,897,962	985,298	1.21GB
nno	Latn	Norwegian Nynorsk	Indo-European	nno_Latn	477,892,927	1,139,655	1.20GB
ory	Orya	Odia	Indo-European	ory_Orya	298,519,091	1,158,595	1.14GB
tgk	Cyrl	Tajik	Indo-European	tgk_Cyrl	382,508,382	650,793	1.11GB
tat	Cyrl	Tatar	Turkic	tat_Cyrl	294,230,594	538,005	973.32MB
cym	Latn	Welsh	Indo-European	cym_Latn	455,436,005	710,320	972.73MB
som	Latn	Somali	Afro-Asiatic	som_Latn	353,960,176	1,017,436	908.41MB
gle	Latn	Irish	Indo-European	gle_Latn	380,239,711	534,443	842.60MB
pbt	Arab	Southern Pashto	Indo-European	pbt_Arab	314,932,104	592,983	759.09MB
ckb	Arab	Central Kurdish	Indo-European	ckb_Arab	217,589,474	495,859	722.73MB
rmy	Latn	Vlax Romani	Indo-European	rmy_Latn	352,511,453	127,035	714.45MB
nap	Latn	Neapolitan	Indo-European	nap_Latn	261,670,185	360,655	595.76MB
mlt	Latn	Maltese	Afro-Asiatic	mlt_Latn	245,205,669	425,681	587.48MB
lao	Laoo	Lao	Kra-Dai	lao_Laoo	187,033,627	346,324	552.85MB
hif	Latn	Fiji Hindi	Indo-European	hif_Latn	271,674,807	166,209	530.84MB
amh	Ethi	Amharic	Afro-Asiatic	amh_Ethi	146,925,120	280,355	530.70MB
kmr	Latn	Northern Kurdish	Indo-European	kmr_Latn	202,189,014	393,683	489.01MB
epo	Latn	Esperanto	Constructed language	epo_Latn	203,459,718	291,191	485.72MB
ltz	Latn	Luxembourgish	Indo-European	ltz_Latn	178,752,854	347,654	462.09MB
yue	Hani	Yue Chinese	Sino-Tibetan	yue_Hani	148,436,179	292,199	405.80MB
bod	Tibt	Tibetan	Sino-Tibetan	bod_Tibt	138,486,091	155,315	389.13MB
gsw	Latn	Swiss German	Indo-European	gsw_Latn	266,701,270	206,047	360.25MB
div	Thaa	Dhivehi	Indo-European	div_Thaa	88,498,130	338,364	352.22MB
plt	Latn	Plateau Malagasy	Austronesian	plt_Latn	154,032,076	254,482	343.76MB
asm	Beng	Assamese	Indo-European	asm_Beng	92,134,659	239,357	334.14MB
snd	Arab	Sindhi	Indo-European	snd_Arab	141,700,175	193,119	332.32MB
gla	Latn	Scottish Gaelic	Indo-European	gla_Latn	155,140,058	195,647	317.78MB
nrm	Latn	Narom	Austronesian	nrm_Latn	100,394,769	263,125	303.58MB
jav	Latn	Javanese	Austronesian	jav_Latn	132,233,895	172,668	299.66MB
fry	Latn	Western Frisian	Indo-European	fry_Latn	122,289,313	334,159	297.67MB
uig	Arab	Uighur	Turkic	uig_Arab	84,382,822	156,755	295.69MB
pcm	Latn	Nigerian Pidgin	Creole	pcm_Latn	154,756,466	467,114	295.61MB
tuk	Latn	Turkmen	Turkic	tuk_Latn	97,605,670	236,553	294.71MB
hat	Latn	Haitian	Creole	hat_Latn	134,707,151	222,184	281.06MB
bak	Cyrl	Bashkir	Turkic	bak_Cyrl	78,681,703	179,964	273.20MB
hyw	Armn	Western Armenian	Indo-European	hyw_Armn	75,183,202	143,967	251.65MB
fao	Latn	Faroese	Indo-European	fao_Latn	95,066,797	261,937	249.96MB
ydd	Hebr	Eastern Yiddish	Indo-European	ydd_Hebr	90,363,432	125,061	247.93MB
ceb	Latn	Cebuano	Austronesian	ceb_Latn	117,057,498	173,644	236.42MB
aeb	Arab	Tunisian Arabic	Afro-Asiatic	aeb_Arab	65,751,442	262,884	202.95MB
pap	Latn	Papiamento	Creole	pap_Latn	91,647,585	176,641	196.14MB
mri	Latn	Maori	Austronesian	mri_Latn	118,024,259	158,804	194.75MB
mww	Latn	Hmong Daw	Hmong-Mien	mww_Latn	118,548,108	132,520	186.29MB
zul	Latn	Zulu	Niger-Congo	zul_Latn	61,995,832	116,693	182.96MB
cos	Latn	Corsican	Indo-European	cos_Latn	78,240,439	108,548	174.21MB
sun	Latn	Sundanese	Austronesian	sun_Latn	70,978,221	102,316	171.27MB
kin	Latn	Kinyarwanda	Niger-Congo	kin_Latn	58,407,371	199,112	170.48MB
urd	Latn	Urdu	Indo-European	urd_Latn	70,185,720	119,354	155.02MB
nya	Latn	Nyanja	Niger-Congo	nya_Latn	59,438,885	97,692	151.73MB
sah	Cyrl	Yakut	Turkic	sah_Cyrl	42,116,408	72,004	150.24MB
smo	Latn	Samoan	Austronesian	smo_Latn	88,739,849	106,185	146.42MB
hin	Latn	Hindi	Indo-European	hin_Latn	72,265,326	84,501	143.98MB
ibo	Latn	Igbo	Niger-Congo	ibo_Latn	74,162,858	95,184	139.08MB
xho	Latn	Xhosa	Niger-Congo	xho_Latn	45,278,182	99,567	134.72MB
sdh	Arab	Southern Kurdish	Indo-European	sdh_Arab	40,724,011	106,917	134.09MB
hbo	Hebr	Ancient Hebrew	Afro-Asiatic	hbo_Hebr	39,090,721	44,958	130.00MB
sot	Latn	Southern Sotho	Niger-Congo	sot_Latn	72,283,044	83,329	127.57MB
kiu	Latn	Kirmanjki (individual language)	Indo-European	kiu_Latn	39,923,564	83,511	124.90MB
chv	Cyrl	Chuvash	Turkic	chv_Cyrl	36,101,473	77,005	123.39MB
tir	Ethi	Tigrinya	Afro-Asiatic	tir_Ethi	32,335,783	65,569	114.29MB
sna	Latn	Shona	Niger-Congo	sna_Latn	39,881,207	80,003	113.29MB
azb	Arab	South Azerbaijani	Turkic	azb_Arab	33,841,273	66,088	108.35MB
ast	Latn	Asturian	Indo-European	ast_Latn	41,945,813	63,347	102.78MB
bar	Latn	Bavarian	Indo-European	bar_Latn	36,729,165	88,675	100.99MB
rue	Cyrl	Rusyn	Indo-European	rue_Cyrl	28,693,558	68,691	98.67MB
